0,title,rating,category,address,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
134,Jana,null,Pharmacy,Metodija Andonov - Chento ,null,+389 2 253 3777,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-5PM,Closed,42.0015625,21.4858125
135,Eurofarm,null,Pharmacy,Bulevar Jane Sandanski 70 ,null,null,null,null,null,null,null,null,null,41.9843125,21.4645625
136,Zegin,4.5,Pharmacy,Bulevar Jane Sandanski 101 ,zegin.com.mk,+389 2 244 7722,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-9PM,8AM-9PM,41.9850625,21.4689375
137,Vet Svet,5,Veterinary pharmacy,MK Nikola Trimpare 27 ,vetsvet.mk,+389 2 316 1019,null,null,null,null,null,null,null,41.9966875,21.4194375
138,PENICILIN,null,Pharmacy,Spiro Crne 6 ,null,+389 2 253 4572,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-7PM,9AM-2PM,42.0108125,21.5101875
139,Mediko Point Apteka,5,Pharmacy,Boris Sarafov 51,null,null,null,null,null,null,null,null,null,42.0085625,21.3499375
140,Aliman Komerc,4.4,Veterinary pharmacy,Metodija Andonov - Chento 1b ,null,+389 2 255 0712,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0023125,21.4845625
141,Zegin - Novo Lisich?e 3,null,Pharmacy,Fevruarski Pohod 24 ,zegin.com.mk,+389 2 240 1445,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-4PM,41.9826875,21.4825625
142,Viola,null,Pharmacy,Bulevar Jane Sandanski 69 ,null,null,null,null,null,null,null,null,null,41.9848125,21.4656875
143,Zegin - Saraj 1,5,Pharmacy,P402 ,zegin.com.mk,+389 2 205 7356,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,41.9988125,21.3264375
144,Apteka Opium,null,Pharmacy,Dimitar Turimandzhoski 3 ,null,+389 2 244 0335,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,8AM-8PM,Closed,41.9746875,21.4718125
145,Eurofarm,5,Pharmacy,Fevruarski Pohod ,null,null,null,null,null,null,null,null,null,41.9841875,21.4836875
146,Apteka Jana,null,Pharmacy,Metodija Andonov - Chento ,null,+389 2 253 3777,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-5PM,Closed,42.0064375,21.5021875
147,Intergral Farm,5,Pharmacy,Razloshka ,null,null,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Closed,41.9941875,21.5084375
148,Apteka Viola - Sopishte,3,Pharmacy,Sopishte ,null,+389 2 274 3244,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,Closed,41.9486875,21.4174375
149,LiLa,5,Pharmacy,Skopje,null,null,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,7AM-3PM,Closed,41.9865625,21.5075625
150,Galenium Farm,4.8,Pharmacy,Shishevo,null,null,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,41.9738125,21.3108125
151,Amavita,5,Pharmacy,Alija Avdovikj 18 Skopje,null,+389 76 299 022,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,8AM-10:30PM,42.0181875,21.5135625
152,Zegin,null,Pharmacy,Blagoja Stefkovski ,null,null,null,null,null,null,null,null,null,41.9955625,21.5014375
153,Zegin,4.9,Pharmacy,Madzari Skopje,zegin.com.mk,+389 2 252 0944,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM,8AM-10PM,42.0055625,21.5035625
154,Galafarm,4.6,Pharmaceutical company,Stopanski Dvor 51/23,galafarm.com.mk,+389 2 205 0800,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,42.0300625,21.3401875
155,Dr. Slavjanka,null,Pharmacy,Gorno Lisiche Skopje,null,null,null,null,null,null,null,null,null,41.9615625,21.5076875
156,Tilija 2,5,Homeopathic pharmacy,P2239 Kuchevishte,null,+389 2 262 7752,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-1PM,42.1090625,21.4200625
157,Eurofarm,null,Pharmacy,Chento,eurofarm.com.mk,+389 72 266 541,null,null,null,null,null,null,null,42.0054375,21.5036875
158,Aspirin Farm,null,Pharmacy,Metodija Andonov 140 Chento,null,null,null,null,null,null,null,null,null,42.0265625,21.5621875
159,dm drogerie markt,4.7,Health and beauty shop,City Mall Ulica Ljubljanska 4,dm.mk,+389 2 308 0456,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,42.0046875,21.3916875
160,dm drogerie markt,4.7,Health and beauty shop,Ivo Lola Ribar 74 ,dm.mk,+389 2 309 4996,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,10AM-5PM,41.9965625,21.4064375
161,Flora Kompani,1,Pharmacy,Branko Zarevski Drachevo,null,+389 70 398 930,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-5PM,7AM-2PM,41.9386875,21.5155625
162,Veterinarna Apteka Panda,2,Veterinarian,Vidoe Smilevski Bato 39 ,panda.vet,+389 70 700 784,12-7PM,12-7PM,12-7PM,12-7PM,12-7PM,10AM-2PM,Closed,41.9835625,21.4765625
163,Zegin - Estreja Drachevo,3.3,Pharmacy,Justinijan Prvi Drachevo,zegin.com.mk,+389 2 320 1444,null,null,null,null,null,null,null,41.9333125,21.5201875
164,Zemjodelska Apteka Agrojunikom,null,Pharmacy,Jurumleri,null,null,null,null,null,null,null,null,null,41.9678125,21.5563125
165,Zegin - Ilinden,4.8,Pharmacy,Ilinden,null,+389 2 258 1360,null,null,null,null,null,null,null,41.9974375,21.5738125
166,Zegin - Drachevo,4.1,Pharmacy,Zhivko Firfov Drachevo,zegin.com.mk,+389 2 279 2000,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,41.9384375,21.5149375
167,Jasmin,4.9,Pharmacy,Marshal Tito 68 Dolno Lisiche,null,+389 2 279 4349,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2:30PM,Closed,41.9534375,21.5323125
168,Bilna apteka,4.3,Health food store,Victor Hugo ,bilnaapteka.com.mk,+389 2 277 4329,null,null,null,null,null,null,null,41.9859375,21.4369375
169,Herba Stojanovi,4.8,Herb shop,11-ti Oktomvri 86/12,null,+389 2 321 4313,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-6PM,10AM-3PM,Closed,41.9881875,21.4359375
