title,subtitle,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,isClaimed,latitude,longitude,query,timestamp
Licina Dent,,,,Dental clinic,,MK  Vtora Makedonska Brigada 80  Skopje 1000  North Macedonia,2CCP+VV Skopje North Macedonia,,+389 2 613 8662,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-3PM,Closed,,FALSE,42.0221875,21.4371875,,2020-11-09T09:35:35.873Z
Dental Care Dr. Lukanoski,,4.7,12,Dental clinic,,TC Leptokarija  Nikola Rusinski 3b  Skopje 1000  North Macedonia,293X+J5 Skopje North Macedonia,lukanoski.mk,+389 2 307 9958,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-2PM,Closed,,TRUE,42.0040625,21.3979375,,2020-11-09T09:35:37.366Z
OMNIDENT,,,,Dental clinic,,Chedomir Minderovik 30  Skopje 1000  North Macedonia,XCXF+XX Skopje North Macedonia,,+389 70 267 002,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,TRUE,41.9999375,21.4249375,,2020-11-09T09:35:38.902Z
Farmakologija,,,,Medical diagnostic imaging center,,Unnamed Road  Skopje 1000  North Macedonia,XCRF+4G Skopje North Macedonia,,,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9903125,21.4238125,,2020-11-09T09:35:40.286Z
Mandala - Psiholoshko Katche,,,,Psychotherapist,,37 1-6  Hristo Smirnenski  Skopje 1000  North Macedonia,XCW7+PV Skopje North Macedonia,psiholoshkokatche.mk,+389 72 311 677,12-8PM,12-8PM,12-8PM,12-8PM,12-8PM,Closed,Closed,,FALSE,41.9968125,21.4146875,,2020-11-09T09:35:42.172Z
EM-Dent&Emergjenca&Em-Farm (Dr.Xhaferi),,5,1,Medical clinic,,Street 4 MK  1052  North Macedonia,WGFM+52 Studenichani North Macedonia,,+389 70 903 057,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-5PM,10:30AM-5PM,,TRUE,41.9229375,21.5325625,,2020-11-09T09:35:43.573Z
D-r Lukic,,,,Dental clinic,,Blvd. Partizanski Odredi 87  Skopje 1000  North Macedonia,2C23+JX Skopje North Macedonia,lukic.mk,+389 2 306 6198,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,,FALSE,42.0015625,21.4049375,,2020-11-09T09:35:45.573Z
Promedika Oftalmologija,,,,Eye care center,,Ss Cyril & Methodius 50  Skopje 1000  North Macedonia,XCVG+67 Skopje North Macedonia,,,,,,,,,,,FALSE,41.9930625,21.4256875,,2020-11-09T09:35:47.022Z
PHI Veritas Medikus,,,,Children Policlinic,,Ruger Boshkovikj 10  Skopje 1000  North Macedonia,2C36+FV Skopje North Macedonia,,,,,,,,,,,FALSE,42.0036875,21.4121875,,2020-11-09T09:35:48.678Z
Getaldus,,,,Eye care center,,Moskovska 5  Skopje 1000  North Macedonia,292R+M5 Skopje North Macedonia,getaldus.mk,+389 2 322 2190,,,,,,,,,FALSE,42.0016875,21.3904375,,2020-11-09T09:35:50.140Z
Meri-Dent,,,,Dental clinic,,Skopje 1000  North Macedonia,XCXQ+WF Skopje North Macedonia,,+389 2 311 4130,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,11AM-6:30PM,Closed,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9998125,21.4386875,,2020-11-09T09:35:51.608Z
Stomatoloska ordinacija Carcev-Cortanoski,,4.7,17,Dental clinic,,ul. 6  lok 2  Varsavska  Skopje 1000  North Macedonia,2C23+36 Skopje North Macedonia,ccdent.mk,+389 72 270 553,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-7:30PM,Closed,Closed,,TRUE,42.0001875,21.4030625,,2020-11-09T09:35:53.514Z
PZU D-r Milanovski,,,,Dental clinic,,MK  Boulevard Jane Sandanski  Skopje 1000  North Macedonia,XFM9+68 Skopje North Macedonia,,+389 78 218 457,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,Closed,Closed,,TRUE,41.9830625,21.4683125,,2020-11-09T09:35:54.973Z
BIOTEK Laboratory,,4.8,17,Medical laboratory,,MK  Vasil Gjorgov no.12  Skopje 1000  North Macedonia,XCVC+2G Skopje North Macedonia,bioteklab.com.mk,+389 78 394 829,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,7:30AM-4PM,8AM-3PM,Closed,,TRUE,41.9925625,21.4213125,,2020-11-09T09:35:56.501Z
PZU LAZARUS,,,,Psychiatrist,,Mother Teresa 6  Skopje 1000  North Macedonia,XCX7+VQ Skopje North Macedonia,,+389 2 616 6880,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,FALSE,41.9996875,21.4144375,,2020-11-09T09:35:58.060Z
PZU Mircevi - Terziovski,,,,Dental clinic,,Mirche Orovchanec 1  Skopje 1000  North Macedonia,XCX7+WG Skopje North Macedonia,,+389 2 324 5270,8AM-4PM,12-8PM,12-8PM,8AM-4PM,8AM-4PM,Closed,Closed,,FALSE,41.9998125,21.4138125,,2020-11-09T09:35:59.634Z
Dental office D-r Alabakovski,,,,Dental clinic,,st.Roza Luksemburg no. 19  Skopje 1000  North Macedonia,XCW8+47 Skopje North Macedonia,,+389 2 204 6405,,,,,,,,,FALSE,41.9953125,21.4156875,,2020-11-09T09:36:01.169Z
Dentamed D-r Kemal Huseinoski,,,,Dental clinic,,ul. Kosturska broj 2 / 3 - 4 Skopje MK  1000  North Macedonia,2CFV+CJ Skopje North Macedonia,dentamed.eu.mk,+389 75 259 125,,,,,,,,,TRUE,42.0235625,21.4440625,,2020-11-09T09:36:02.700Z
Stomatoloska ordinacija D-r Nina,,4.3,18,Dental clinic,,Bulevar ASNOM lokal 9  Skopje 1000  North Macedonia,XFQ9+H6 Skopje North Macedonia,drnina.mk,+389 2 243 0188,,,,,,,,,FALSE,41.9889375,21.4680625,,2020-11-09T09:36:04.571Z
Psychotherapy Services,,,,Psychotherapist,,MK  Nikola Parapunov 11  Skopje 1000  North Macedonia,294J+7X Skopje North Macedonia,,+389 75 665 449,,,,,,,,,FALSE,42.0056875,21.3824375,,2020-11-09T09:36:07.937Z
Stomatološka ordinacija HAMI AKUDENT,,5,2,Dental clinic,,Boulevard Krste Petkov Misirkov 13/5  Skopje 1000  North Macedonia,2C2Q+5Q Skopje North Macedonia,,+389 70 843 451,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,8:30AM-7PM,9AM-3PM,Closed,,TRUE,42.0004375,21.4394375,,2020-11-09T09:36:09.846Z
Magniflex,,4.8,20,Mattress store,,Naum Naumovski Borche 87a  Skopje 1000  North Macedonia,2C2F+R5 Skopje North Macedonia,magniflex.com.mk,+389 78 700 222,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,9AM-4:30PM,Closed,,TRUE,42.0020625,21.4229375,,2020-11-09T09:36:11.470Z
Dental Tourism Macedonia,,,,Dental clinic,,MK  Pandil Shishkov 10  Skopje 1000  North Macedonia,XFP2+5F Skopje North Macedonia,dentaltourismmacedonia.com,+389 78 379 217,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,11AM-8PM,Closed,https://lh5.googleusercontent.com/p/AF1QipMh4bKHmlz7WAzbjFJpIzP0bzWargiQaZcSNKtO=w408-h306-k-no,TRUE,41.9854375,21.4511875,,2020-11-09T09:36:13.275Z
Atlas Relax,,1,1,Medical group,,Blvd. Partizanski Odredi 155  Skopje 1000  North Macedonia,2959+5G Skopje North Macedonia,,+389 70 999 141,,,,,,,,,FALSE,42.0079375,21.3688125,,2020-11-09T09:36:15.106Z
PZU Dr.Efrem Trpkov,,5,2,Dental clinic,,Koce Metalec 1gj  Koce Metalec  Skopje 1000  North Macedonia,2F55+VX Skopje North Macedonia,,+389 70 367 333,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,,FALSE,42.0096875,21.4599375,,2020-11-09T09:36:16.497Z
PZU Dr Ilija Karamanov,,5,3,Dental clinic,,MK  Hristo Tatarchev 47 Skopje 1000  North Macedonia,XCGV+MQ Skopje North Macedonia,,+389 75 277 599,8:30AM-7:30PM,8:30AM-7:30PM,8:30AM-3PM,8:30AM-7:30PM,8:30AM-7:30PM,Closed,Closed,,TRUE,41.9766875,21.4444375,,2020-11-09T09:36:17.949Z
Derman Dent,,5,1,Dental clinic,,MK  John Kennedy 9B  Skopje 1000  North Macedonia,2C7Q+65 Skopje North Macedonia,dermandent.com,+389 2 261 4664,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,10AM-2PM,Closed,,TRUE,42.0130625,21.4379375,,2020-11-09T09:36:19.422Z
Psychotherapist Aspekti Skopje,,5,1,Psychotherapist,,Mother Teresa 44  Skopje 1000  North Macedonia,XCQ9+MF Skopje North Macedonia,aspekti.mk,+389 71 878 706,,,,,,,,,TRUE,41.9891875,21.4186875,,2020-11-09T09:36:22.272Z
PZU DENTONIK,,4,1,Dental clinic,,Bul. Vidoe Smilevski Bato 3 Lokal 7 MK  1000  North Macedonia,Бул. Видое Смилевски Бато бр. 3 Локал 7 Скопје MK 1000 North Macedonia,,+389 70 517 400,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,TRUE,41.9824375,21.4726875,,2020-11-09T09:36:23.974Z
Karadent Skopje,,5,3,Dental clinic,,Frederic Chopin 12  Skopje 1000  North Macedonia,XCPJ+FQ Skopje North Macedonia,karadent.mk,+389 2 311 2989,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-8PM,8:45AM-1:30PM,Closed,,FALSE,41.9861875,21.4319375,,2020-11-09T09:36:27.892Z
DALIJA - Stomatoloshka Ordinacija,,5,1,Dental clinic,,Moskovska 7 - lokal 5  Skopje 1000  North Macedonia,292R+Q3 Skopje North Macedonia,,+389 70 749 787,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,,FALSE,42.0019375,21.3901875,,2020-11-09T09:36:29.408Z
Avicena Laboratory,,4.4,54,Medical laboratory,,Boulevard 8-mi Septemvri  Skopje 1000  North Macedonia,XCX3+3M Skopje North Macedonia,avicenalab.com.mk,+389 2 317 9001,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7:30PM,7AM-7PM,Closed,,TRUE,41.9976875,21.4041875,,2020-11-09T09:36:31.104Z
Histolab,,4.4,43,Diagnostic center,,50-ta Divizija 34  Skopje 1000  North Macedonia,XCQG+FR Skopje North Macedonia,histolab.com.mk,+389 2 317 6324,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,,FALSE,41.9886875,21.4270625,,2020-11-09T09:36:32.892Z
PSU Ortodont D-r Chonevska,,5,2,Dentist,,Jurij Gagarin br.51 lok 3  Kozle  Skopje 1000  North Macedonia,X9WX+H7 Skopje North Macedonia,pzuortodont.business.site,+389 71 227 904,12-8PM,12-8PM,8AM-4PM,12-8PM,8AM-4PM,Closed,Closed,,TRUE,41.9964375,21.3981875,,2020-11-09T09:36:34.467Z
Psychological Office Tatjana Takashmanova Sokolovska PhD,,5,1,Psychologist,,Rilski Kongres 51  Skopje 1000  North Macedonia,XCMH+2Q Skopje North Macedonia,drtakashmanova.mk,+389 2 270 0265,10AM-1PM 2-6PM,10AM-1PM 2-6PM,10AM-1PM 2-6PM,10AM-1PM 2-6PM,10AM-1PM 2-6PM,10AM-3PM,Closed,,FALSE,41.9825625,21.4294375,,2020-11-09T09:36:36.302Z
PZU Anadent d-r Genchovska,,5,1,Dental clinic,,Hristo Tatarchev br.1 lam.1.lok 3 Chesma MK  1000  North Macedonia,XCPQ+3G Skopje North Macedonia,business.site,+389 78 335 010,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,11:30AM-7:30PM,9AM-5PM,Closed,Closed,,TRUE,41.9851875,21.4388125,,2020-11-09T09:36:37.880Z
Dentist Office D-r Lidija Markovski,,,,Dentist,,Blvd. Partizanski Odredi  Skopje 1000  North Macedonia,2C26+4M Skopje North Macedonia,,+389 2 306 6885,10AM-3PM 5:30-8PM,10AM-3PM 5:30-8PM,10AM-3PM 5:30-8PM,10AM-3PM 5:30-8PM,10AM-3PM 5:30-8PM,Closed,Closed,,TRUE,42.0003125,21.4116875,,2020-11-09T09:36:39.292Z
Dental office - CHAKAR,,4.2,29,Dental clinic,,Mitropolit Teodosij Gologanov 59  Skopje 1000  North Macedonia,XCV9+RV Skopje North Macedonia,,+389 2 322 9682,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-2PM,Closed,,FALSE,41.9945625,21.4196875,,2020-11-09T09:36:41.730Z
ProgenZ,,,,Engineering consultant,,1 / 9  11 Oktomvri broj 19  Skopje 1000  North Macedonia,XCRM+RQ Skopje North Macedonia,progenz.biz,+389 2 324 5056,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,Closed,Closed,,TRUE,41.9920625,21.4344375,,2020-11-09T09:36:43.308Z
Avicena dijagnostika,,5,2,Diagnostic center,,ul. 1551 broj 5B MK  Skopje 1000  North Macedonia,29QV+M3 Skopje North Macedonia,avicena.com.mk,+389 2 307 9700,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,Closed,Closed,,TRUE,42.0391875,21.3926875,,2020-11-09T09:36:44.777Z
Zdravstvena ambulanta Avtokomanda,,,,Urgent care center,,Skopje 1000  North Macedonia,2F38+X9 Skopje North Macedonia,,,,,,,,,,,FALSE,42.0049375,21.4659375,,2020-11-09T09:36:46.216Z
DentiMax Dental Office,,5,1,Dental clinic,,9-ti Maj  Skopje 1000  North Macedonia,XCW8+J7 Skopje North Macedonia,dentimax.mk,+389 70 787 070,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-2PM,Closed,,TRUE,41.9965625,21.4156875,,2020-11-09T09:36:47.934Z
Vizus,,5,5,Ophthalmologist,,Macedonia  Skopje 1000  North Macedonia,XCWJ+49 Skopje North Macedonia,vizus.com.mk,+389 2 322 6631,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,10AM-5PM,Closed,,TRUE,41.9953125,21.4309375,,2020-11-09T09:36:49.979Z
Stomatoloska ordinacija Dentallica Dentistry,,4.8,45,Dental clinic,,ul. 1613 br. 11 Skopje MK  1000  North Macedonia,XFHG+JF Skopje North Macedonia,business.site,+389 70 930 085,12-8PM,12-8PM,12-8PM,12-8PM,12-8PM,Closed,Closed,,TRUE,41.9790625,21.4761875,,2020-11-09T09:36:51.399Z
Kruna MS,,1,1,Dental clinic,,2/2 GTC Kej 13ti Noemvri  Skopje 1000  North Macedonia,XCVM+XW Skopje North Macedonia,krunams.com.mk,+389 2 316 6919,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-2PM,Closed,,TRUE,41.9949375,21.4348125,,2020-11-09T09:36:52.875Z
PREMIUM DENT D-r. Ilija Videski,,5,10,Dentist,,MK  Vasil Gjorgov  Skopje 1000  North Macedonia,XCVC+3C Skopje North Macedonia,premiumdent.com.mk,+389 70 444 111,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,Closed,Closed,,TRUE,41.9926875,21.4210625,,2020-11-09T09:36:54.298Z
PZU Dent El Stomatoloska Ordinacija,,,,Dental clinic,,Kukuska 11  Skopje 1000  North Macedonia,2C2G+MQ Skopje North Macedonia,,+389 78 445 384,,,,,,,,,FALSE,42.0016875,21.4269375,,2020-11-09T09:36:55.772Z
VIK DENTAL,,,,Dental clinic,,Boulevard Saint Clement of Ohrid 2  Skopje 1000  North Macedonia,XCWF+PV Skopje North Macedonia,newpages.com.mk,+389 2 311 2886,,,,,,,,,FALSE,41.9968125,21.4246875,,2020-11-09T09:36:57.278Z
Dental Cosmetic Studio,,,,Dental clinic,,Nevena Georgieva - Dunja 10  Skopje 1000  North Macedonia,XCPM+CJ Skopje North Macedonia,,+389 78 456 031,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,TRUE,41.9860625,21.4340625,,2020-11-09T09:36:59.091Z
Stomatoloska ordinacija Dr Slobodan Stankovski,,5,1,Dental clinic,,Prashka 13  Skopje 1000  North Macedonia,X9XX+74 Skopje North Macedonia,,+389 70 268 269,,,,,,,,,FALSE,41.9981875,21.3978125,,2020-11-09T09:37:00.636Z
PZU D-r PETI,,,,Dental clinic,,Tetovska 35  Skopje 1000  North Macedonia,XCRP+7V Skopje North Macedonia,,+389 70 777 961,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,TRUE,41.9906875,21.4371875,,2020-11-09T09:37:02.173Z
Nova Dental Group Clinic,,3,1,Hospital,,Skopje 1000  North Macedonia,2C23+46 Skopje North Macedonia,novadental.com.mk,+389 2 206 0999,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-5PM,Closed,,FALSE,42.0003125,21.4030625,,2020-11-09T09:37:03.697Z
PZU Denta Estetika Tim,,5,2,Dental clinic,,Skopje 1000  North Macedonia,XCMM+XQ Skopje North Macedonia,dentaes.mk,+389 2 277 4918,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,Closed,Closed,,FALSE,41.9849375,21.4344375,,2020-11-09T09:37:05.291Z
Bio Save,,,,Blood bank,,Mitropolit Teodosij Gologanov 54/1-1  Skopje 1000  North Macedonia,XCV8+WQ Skopje North Macedonia,biosave.mk,+389 2 311 1121,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,,TRUE,41.9948125,21.4169375,,2020-11-09T09:37:06.777Z
Pop Acevi,,,,Dental clinic,,8-mi Mart 8a  Skopje 1000  North Macedonia,2C3R+55 Skopje North Macedonia,,+389 2 313 1401,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,,FALSE,42.0029375,21.4404375,,2020-11-09T09:37:08.369Z
VILDENT,,4.9,26,Dental clinic,,Varsavska  Skopje 1000  North Macedonia,292X+3M Skopje North Macedonia,vildent.mk,+389 2 264 0603,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-1PM,Closed,,FALSE,42.0001875,21.3991875,,2020-11-09T09:37:10.233Z
"Qendra Ortopedike ""Ortopro ETER""",,5,3,Hospital,,Boca Ivanovska  Skopje 1000  North Macedonia,2CHQ+84 Skopje North Macedonia,ortoproeter.com.mk,+389 2 262 2543,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,8:30AM-4:30PM,Closed,Closed,,TRUE,42.0283125,21.4378125,,2020-11-09T09:37:12.427Z
DENTAL CARE-stomatoloska ordinacija,,5,1,Dental clinic,,Metodija Shatorov-Sharlo 23/2  Skopje 1000  North Macedonia,XFP4+MQ Skopje North Macedonia,,+389 70 386 882,,,,,,,,,TRUE,41.9866875,21.4569375,,2020-11-09T09:37:15.546Z
Lydia - A Beating Heart,,,,Family counselor,,11th October St. 44/ 2 - 2  Skopje 1000  North Macedonia,XCQP+93 Skopje North Macedonia,lidija.com.mk,+389 70 231 781,10:30AM-5PM,10:30AM-5PM,10:30AM-5PM,10:30AM-5PM,10:30AM-5PM,Closed,Closed,,FALSE,41.9884375,21.4351875,,2020-11-09T09:37:17.073Z
Mozaik Sovetuvaliste,,5,3,Psychologist,,Gjorgji Sugare 4  Skopje 1000  North Macedonia,XCHW+P8 Skopje North Macedonia,mozaik-sovetuvaliste.mk,+389 75 221 102,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipMqYYwh9TmUpOaLIPFd97vGgphf6T5BJikdFEA=w427-h240-k-no,TRUE,41.9793125,21.4458125,,2020-11-09T09:37:18.810Z
PZU Kalinka,,3,2,Child psychologist,,2b  Naselba Vlae   Franc Rozman  Skopje 1000  North Macedonia,295C+8R Skopje North Macedonia,,+389 2 206 0196,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,10AM-1PM,Closed,,TRUE,42.0083125,21.3720625,,2020-11-09T09:37:20.696Z
Public Health Facility - Prolet,,3.1,7,Public health department,,3rd Macedonian Brigade Blvd 18  Skopje 1000  North Macedonia,XCQR+2H Skopje North Macedonia,,+389 2 329 8488,,,,,,,,,FALSE,41.9875625,21.4414375,,2020-11-09T09:37:22.170Z
Denta Lux Skopje,,5,18,Dental clinic,,Blazo Orlandikj 26A Lisiche  Skopje 1000  North Macedonia,XFG8+J6 Skopje North Macedonia,,+389 2 243 6806,,,,,,,,,TRUE,41.9765625,21.4655625,,2020-11-09T09:37:23.644Z
Dental Art,,5,16,Dental clinic,,Adolf Ciborovski St 20/2A  Skopje 1000  North Macedonia,XCX7+MP Skopje North Macedonia,dental-art.com.mk,+389 78 254 030,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,Closed,Closed,,TRUE,41.9991875,21.4143125,,2020-11-09T09:37:25.074Z
Dental Macedonia,,,,Dental clinic,,Mito Hadzivasilev-Jasmin  Skopje 1000  North Macedonia,XCVG+GP Skopje North Macedonia,,+389 78 822 318,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-2PM,Closed,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9938125,21.4268125,,2020-11-09T09:37:26.637Z
DENT THALIA Opsta so Oralna Hirurgija,,5,1,Dental clinic,,Krste Asenov 14  Skopje 1000  North Macedonia,2C8W+VV Skopje North Macedonia,business.site,+389 71 226 633,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,Closed,,TRUE,42.0171875,21.4471875,,2020-11-09T09:37:28.014Z
Vizia - Eye center,,4.3,22,Eye care center,,1  Nikola Parapunov  Skopje  North Macedonia,294M+G2 Skopje North Macedonia,vizia.com.mk,+389 2 309 2030,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,9AM-1PM,Closed,,TRUE,42.0063125,21.3825625,,2020-11-09T09:37:29.683Z
PZU Ortodoncija � Stomatoloska ordinacija,,5,1,Dental clinic,,Ograzden 2-1/12  Skopje 1000  North Macedonia,294W+CJ Skopje North Macedonia,,+389 2 307 1728,9AM-12PM 5-8PM,9AM-12PM 5-8PM,9AM-12PM 5-8PM,9AM-12PM 5-8PM,9AM-12PM 5-8PM,9AM-12PM,Closed,,FALSE,42.0060625,21.3965625,,2020-11-09T09:37:31.549Z
Dental Studio Dentistico - Dr. Nineska,,4.7,27,Dental clinic,,Boulevard Jane Sandanski 15  Skopje 1000  North Macedonia,XFQ7+77 Skopje North Macedonia,dentistskopje.com,+389 71 327 957,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-3PM,Closed,,TRUE,41.9881875,21.4631875,,2020-11-09T09:37:33.811Z
University Clinic for Hematology,,4,4,University hospital,,Mother Teresa 17  Skopje 1000  North Macedonia,XCQC+7C Skopje North Macedonia,hematologija.org.mk,+389 2 311 1749,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,41.9881875,21.4210625,,2020-11-09T09:37:35.220Z
Stomatoloska Ordinacija DENTIKO,,5,1,Dental clinic,,ul. Meckin Kamen  Skopje 1000  North Macedonia,284X+WX Skopje North Macedonia,,+389 78 395 211,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,9AM-1PM,Closed,,FALSE,42.0073125,21.3499375,,2020-11-09T09:37:36.634Z
Rentgen Tolovski,,4,22,Medical diagnostic imaging center,,Dimche Mirchev  Skopje 1000  North Macedonia,XCQH+PH Skopje North Macedonia,tolovski.com.mk,+389 2 311 0003,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,9AM-2PM,Closed,,FALSE,41.9893125,21.4289375,,2020-11-09T09:37:38.313Z
University Clinic for Maxillofacial Surgery,,5,3,University hospital,,Vodnjanska 17  Skopje 1000  North Macedonia,XCQF+JH Skopje North Macedonia,,+389 2 316 3371,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9890625,21.4239375,,2020-11-09T09:37:39.807Z
Ekstra Dental,,5,1,Dental clinic,,ul. Metodija Shatorov Sharlo br.12  Skopje 1000  North Macedonia,XFP4+66 Skopje North Macedonia,ekstra-dental.business.site,+389 71 243 349,,,,,,,,,TRUE,41.9855625,21.4555625,,2020-11-09T09:37:41.277Z
P.Z.U D-r Kristijan,,5,2,Dental clinic,,Bardovtsi  North Macedonia,29GH+8X Bardovtsi North Macedonia,,+389 71 350 394,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,Closed,Closed,,TRUE,42.0258125,21.3799375,,2020-11-09T09:37:43.208Z
OZONE Hair Clinic MK,,,,Hospital,,Xhon Kenedi 27  Skopie 1000  Skopie 1000  North Macedonia,2C7M+3C Skopje North Macedonia,,+389 71 763 776,,,,,,,,,FALSE,42.0126875,21.4335625,,2020-11-09T09:37:44.740Z
University Clinic of Radiotherapy & Oncology,,4.3,3,University hospital,,Mother Teresa  Skopje 1000  North Macedonia,XCRC+3C Skopje North Macedonia,oncology.org.mk,+389 2 314 7874,,,,,,,,,FALSE,41.9901875,21.4210625,,2020-11-09T09:37:46.697Z
University Clinic of Psychiatry,,3.7,3,University hospital,,Mother Teresa 17  Skopje 1000  North Macedonia,XCPG+PJ Skopje North Macedonia,,+389 2 311 2579,,,,,,,,,FALSE,41.9868125,21.4265625,,2020-11-09T09:37:49.474Z
University Clinic Of Dermatovenerology,,,,Hospital,,Skopje 1000  North Macedonia,XCQC+84 Skopje North Macedonia,,,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9883125,21.4203125,,2020-11-09T09:37:51.043Z
University Clinic for Pediatric Diseases,,5,1,University hospital,,Mother Teresa Str. 17  Skopje 1000  North Macedonia,XCQC+2J Skopje North Macedonia,ukdetskibolesti.mk,+389 2 322 9156,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,FALSE,41.9875625,21.4215625,,2020-11-09T09:37:52.678Z
Pzu Markoski,,5,1,Dental clinic,,Rudi Chajavec 37  Skopje 1000  North Macedonia,XCQX+FR Skopje North Macedonia,,+389 2 246 4411,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-2PM,Closed,,TRUE,41.9886875,21.4495625,,2020-11-09T09:37:55.185Z
Tree Dental,,5,3,Dental clinic,,Boulevard Kuzman Josifovski Pitu 22  Skopje 1000  North Macedonia,XCQX+P2 Skopje North Macedonia,,,,,,,,,,,FALSE,41.9893125,21.4475625,,2020-11-09T09:37:56.772Z
